Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Decapterus muroadsi,Chordata,Teleostei,Perciformes,Carangidae,Decapterus,muroadsi,Teleostei,7.49,5.89,Family,Carangidae,1.6,21.3618157543,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Etrumeus teres,Chordata,Teleostei,Clupeiformes,Clupeidae,Etrumeus,teres,Teleostei,7.53,6.99,Family,Clupeidae,0.54,7.171314741,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Grimothea planipes,Arthropoda,Malacostraca,Decapoda,Munididae,Grimothea,planipes,Crustacea,3.93,3.9,Broad group,Crustacea,0.03,0.7633587786,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Merluccius productus,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,productus,Teleostei,6.15,3.99,Genus,Merluccius,2.16,35.1219512195,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Sardinops caeruleus,Chordata,Teleostei,Clupeiformes,Clupeidae,Sardinops,caeruleus,Teleostei,7.41,6.75,Genus,Sardinops,0.66,8.9068825911,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Scomber japonicus,Chordata,Teleostei,Perciformes,Scombridae,Scomber,japonicus,Teleostei,9.04,6.1225,Genus,Scomber,2.9175,32.2732300885,1
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Selar crumenopthalmus,Chordata,Teleostei,Perciformes,Carangidae,Selar,crumenopthalmus,Teleostei,6.4,5.89,Family,Carangidae,0.51,7.96875,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Alosa alabamae,Chordata,Teleostei,Clupeiformes,Clupeidae,Alosa,alabamae,Teleostei,4.53,6.99,Genus,Alosa,2.46,54.3046357616,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Anasterias perrieri,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Anasterias,perrieri,Other invertebrates,4.92,3.0,Broad group,Other invertebrates,1.92,39.0243902439,1
Alaska Fisheries Science Center,NOAA Technical Memorandum,2024,Alaska Fisheries Science Center | NOAA Technical Memorandum | 2024,Anoplopoma fimbria,Chordata,Teleostei,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Teleostei,6.49,5.62,Broad group,Teleostei,0.87,13.405238829,2
